u,v,weight
AEKHA,KWSHU,36320
BEANT,FRLEH,140637
BEANT,LKCOL,85078
BEANT,RUSPG,5902
BRIJI,SGSGP,80108
BRITA,INMUN,132712
BRPAR,UYMON,265356
CAVCR,JPTOK,72912
CIABI,MATAN,50790
CNFOS,HKHKG,6842
CNGUA,CNGUA,888
CNHEF,CNYSN,1694
CNMWN,EGSOK,34916
CNNBO,CNDCB,68121
CNNSA,CNTJN,51739
CNNSA,IDJAK,37504
CNNSA,JPHKA,24527
CNNSA,THLCB,22563
CNNTG,CNTJN,14641
CNQIN,KRBUS,22344
CNQIZ,MYTPP,28697
CNQUA,CNDCB,59354
CNSAX,CNWHN,4987
CNSHE,CNHPU,2495
CNSHE,JPTOK,23793
CNSHE,MYPKE,76497
CNTJN,CNBAO,9600
CNWEF,CNQIN,9733
CNWGQ,CNYSN,4600
CNWGQ,JPKNA,13729
CNXIA,CNYTN,110381
CNXIA,SGSGP,25913
CNZSN,CNGUA,2400
CNZSN,CNYTN,2300
COCTA,ESALG,84862
EGALE,SAJED,12773
EGDAM,RUSPG,37100
FIKOT,DEHAM,14483
GRPIR,GEPTI,14587
HKHKG,CNNBO,72447
IDBMP,CNNSA,18002
IDJAK,IDBAL,8139
IDKEN,IDBAL,5890
INMUN,GBFEL,112516
INMUN,USNYK,83555
INNSA,LKCOL,67515
JPHMA,JPYOK,1780
JPKMA,JPYOK,1726
JPKOB,CNWGQ,22314
JPKOB,JPNAG,103310
JPNAG,JPTOK,36835
JPOSK,CNLYG,12782
JPYOK,JPNAG,12681
KRBUS,PAMIT,145527
KRBUS,USMOB,65072
KRBUS,USSEA,141334
LKCOL,INKKT,10744
LTKLJ,DEBHN,13031
MATAN,ESGIJ,12343
MATAN,SGSGP,459713
MXMAN,JPYOK,190668
MYPKE,AEJAL,108283
MYPKE,CNQIN,43691
MYTPP,VNHPG,33917
MZMAP,AEJAL,21773
PABAL,PACOL,61669
PHZAM,PHDAV,9131
SGSGP,FRDKK,221103
SGSGP,IDBLN,21512
SGSGP,PHDAV,13825
SGSGP,VNHPG,37965
SIKOP,CNQIN,73259
TRDER,TRALI,23228
TRISK,GRPIR,69260
TWKAO,KRBUS,63254
TZDRS,MYPKE,38975
USPEV,ESMAL,132035
VNHCM,TWKAO,34325
